,record_id,source,timestamp,text,L1_Intent
58,email-58,email,2025-07-25T22:00:00Z,"Billing overage on evaluation credits
We'd like to export embeddings + labels into Unity Catalog. Any sample notebook or connector?",Data Management Issues
59,email-59,email,2025-07-27T20:41:00Z,"Request: Private data redaction in transcripts
Hello,
We appear to have crossed the evaluation credit cap unexpectedly last week. Could you share a breakdown by model/provider and any spikes?",Unknown
60,email-60,email,2025-08-06T19:34:00Z,"Security: IP allowlist for callback webhooks
Hello,
We appear to have crossed the evaluation credit cap unexpectedly last week. Could you share a breakdown by model/provider and any spikes?",Security and Compliance Inquiries
61,email-61,email,2025-07-31T09:18:00Z,"RBAC: Role mapping policy questions
Our firewall blocks outbound except allowlisted IPs. Do you publish static egress IPs for callback webhooks?",Authentication and Access Issues
62,email-62,email,2025-08-02T02:14:00Z,"Bug: CSV import fails on UTF-8 BOM
Our firewall blocks outbound except allowlisted IPs. Do you publish static egress IPs for callback webhooks?",Unknown
63,email-63,email,2025-07-30T12:18:00Z,"Quotas: Model provider limits exceeded
SRE here—monitor flagged elevated 5xx from /runs API between 02:10–02:27 UTC. Root cause and mitigation?",Incident Reporting
64,email-64,email,2025-08-03T05:32:00Z,"RBAC: Role mapping policy questions
We want higher precision for Safety than UX. Is that supported in the new policy engine?",Security and Compliance Inquiries
65,email-65,email,2025-08-01T06:16:00Z,"Incident: Elevated 5xx yesterday
Our auditors need an export of go/no-go decisions and thresholds by intent.",Policy and Governance Questions
66,email-66,email,2025-08-06T00:08:00Z,"Billing overage on evaluation credits
Our auditors need an export of go/no-go decisions and thresholds by intent.",Billing and Subscription Queries
67,email-67,email,2025-07-16T18:52:00Z,"Integration: Databricks vector export
We hit rate limits on Claude 3.5 Haiku last night. Can we configure provider fallbacks?",Integration Problems
68,email-68,email,2025-07-21T12:13:00Z,"Integration: Databricks vector export
We use Okta; need RBAC sync details and audit logs for admin changes.",Unknown
69,email-69,email,2025-07-17T17:25:00Z,"Bug: CSV import fails on UTF-8 BOM
We use Okta; need RBAC sync details and audit logs for admin changes.",Data Management Issues
70,shortcut-70,shortcut,2025-07-29T05:05:00Z,"API: 500 on /runs with large dataset
Document static egress IPs and rotation policy for firewall rules.",Unknown
71,shortcut-71,shortcut,2025-07-23T18:05:00Z,"Enhancement: Golden set pin & lock
Alert on p95 embedding latency > 3s; investigate provider throttling.",Feature Requests and Enhancements
72,shortcut-72,shortcut,2025-08-04T13:05:00Z,"Integration: Azure OpenAI region picker
Ensure deterministic seeds across providers where possible; document caveats.",Integration Problems
73,shortcut-73,shortcut,2025-07-31T03:05:00Z,"Observability: Add request id to responses
Allow users to pin a golden dataset and lock edits ahead of release window.",Unknown
74,shortcut-74,shortcut,2025-08-08T17:05:00Z,"Export: Databricks Unity Catalog
Escape slashes in group names during SSO role sync.",Unknown
75,shortcut-75,shortcut,2025-08-03T02:05:00Z,"API: 500 on /runs with large dataset
Escape slashes in group names during SSO role sync.",Unknown
76,shortcut-76,shortcut,2025-08-06T04:05:00Z,"Security: IP allowlist for webhooks
Update and publish retention and purge procedures (SOC2).",Security and Compliance Inquiries
77,shortcut-77,shortcut,2025-08-05T04:05:00Z,"Enhancement: Golden set pin & lock
Add UI support for francecentral; backend already whitelisted.",Unknown
78,shortcut-78,shortcut,2025-07-19T16:05:00Z,"Enhancement: Golden set pin & lock
Allow per-intent precision/recall thresholds and go/no-go gates.",Feature Requests and Enhancements
79,shortcut-79,shortcut,2025-07-21T17:05:00Z,"Docs: Data retention policy update
Repro: Apply filters on Runs page, open a run, hit back. Filters cleared. Expect filters to persist.",Unknown
80,shortcut-80,shortcut,2025-08-03T03:05:00Z,"RBAC: Group name escaping
Update and publish retention and purge procedures (SOC2).",Unknown
81,shortcut-81,shortcut,2025-08-04T16:05:00Z,"UI: Filters reset on back nav
Surface request id in API responses for correlation in logs.",User Experience Issues
82,shortcut-82,shortcut,2025-07-25T20:05:00Z,"RBAC: Group name escaping
Allow per-intent precision/recall thresholds and go/no-go gates.",Unknown
83,shortcut-83,shortcut,2025-07-31T18:05:00Z,"Export: Databricks Unity Catalog
Update and publish retention and purge procedures (SOC2).",Unknown
84,shortcut-84,shortcut,2025-08-07T15:05:00Z,"Security: IP allowlist for webhooks
Update and publish retention and purge procedures (SOC2).",Unknown
85,shortcut-85,shortcut,2025-07-21T00:05:00Z,"Security: IP allowlist for webhooks
Document static egress IPs and rotation policy for firewall rules.",Unknown
86,shortcut-86,shortcut,2025-07-21T01:05:00Z,"Security: IP allowlist for webhooks
Add UI support for westus3; backend already whitelisted.",Unknown
87,shortcut-87,shortcut,2025-07-28T11:05:00Z,"RBAC: Group name escaping
Allow users to pin a golden dataset and lock edits ahead of release window.",Unknown
88,shortcut-88,shortcut,2025-07-12T15:05:00Z,"Export: Databricks Unity Catalog
Add UI support for francecentral; backend already whitelisted.",Unknown
89,shortcut-89,shortcut,2025-07-19T22:05:00Z,"Observability: Add request id to responses
Export embeddings + labels to Unity Catalog with schema mapping.",Data Management Issues
90,customer_call-90,customer_call,2025-08-06T13:00:00Z,"customer: Re-running last week's eval yields slightly different scores.
cs: We'll fix seed plumbing; note provider sampling can still drift.",Reproducibility and Evaluation Concerns
91,customer_call-91,customer_call,2025-07-29T01:00:00Z,"customer: Re-running last week's eval yields slightly different scores.
cs: We'll fix seed plumbing; note provider sampling can still drift.",Unknown
92,customer_call-92,customer_call,2025-08-06T16:00:00Z,"customer: We hit the evaluation credit cap unexpectedly.
cs: We'll send a breakdown by provider and models with spikes.",Billing and Subscription Queries
93,customer_call-93,customer_call,2025-08-01T20:00:00Z,"customer: Legal needs purge-by-user and redaction at export.
cs: We support per-user purge and redaction via policy settings.",Product Functionality Questions
94,customer_call-94,customer_call,2025-08-03T23:00:00Z,"customer: Embedding latency p95 spiked last night.
cs: We can enable fallback providers and rate-limit protection.",Performance and Latency Concerns
95,customer_call-95,customer_call,2025-08-04T22:00:00Z,"customer: We need static egress IPs for firewall rules.
cs: We'll document IPs and rotation notice policy.",Unknown
96,customer_call-96,customer_call,2025-08-03T16:00:00Z,"customer: Legal needs purge-by-user and redaction at export.
cs: We support per-user purge and redaction via policy settings.",Product Functionality Questions
97,customer_call-97,customer_call,2025-07-30T22:00:00Z,"customer: We need static egress IPs for firewall rules.
cs: We'll document IPs and rotation notice policy.",Unknown
98,customer_call-98,customer_call,2025-08-08T14:00:00Z,"customer: Re-running last week's eval yields slightly different scores.
cs: We'll fix seed plumbing; note provider sampling can still drift.",Reproducibility and Evaluation Concerns
99,customer_call-99,customer_call,2025-08-05T18:00:00Z,"customer: We want to lock a golden set before release.
cs: We’ll add pin/lock controls with role permissions.",Unknown
